Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC1_CategoryDetails,20,303,378,453,460,467,0,467,5.000%,.33079,0.70,0.04
TOTAL,20,303,378,453,460,467,0,467,5.000%,.33079,0.70,0.04
