timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673285085199,454,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1942,171,1,1,null,0,5,226
1673285085201,454,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1942,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6327/Details.json?catalogue=false%20,454,0,226
1673285086184,386,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,3229,171,2,2,null,0,5,156
1673285086185,386,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3229,171,2,2,https://api.tmsandbox.co.nz/v1/Categories/6329/Details.json?catalogue=false%20,385,0,156
1673285087185,393,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Ultimate Thread Group 1-3,,false,,786,171,3,3,null,0,5,160
1673285087186,393,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-3,text,false,"Test failed: text expected to contain /""CanRelist"":true/",786,171,3,3,https://api.tmsandbox.co.nz/v1/Categories/6331/Details.json?catalogue=false%20,393,0,160
1673285088184,378,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,3231,171,4,4,null,0,5,141
1673285088185,378,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3231,171,4,4,https://api.tmsandbox.co.nz/v1/Categories/6333/Details.json?catalogue=false%20,378,0,141
1673285089184,401,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,3220,171,5,5,null,0,6,158
1673285089185,401,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6335/Details.json?catalogue=false%20,401,0,158
1673285085659,371,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,3233,171,5,5,null,0,5547,167
