Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC1_CategoryDetails,19,1876,385,504,590,29927,0,29927,10.526%,.29534,0.62,0.04
TOTAL,19,1876,385,504,590,29927,0,29927,10.526%,.29534,0.62,0.04
