Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC1_CategoryDetails,19,1871,367,454,638,29983,0,29983,10.526%,.29533,0.62,0.04
TOTAL,19,1871,367,454,638,29983,0,29983,10.526%,.29533,0.62,0.04
