timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673285456084,453,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1942,171,1,1,null,0,4,230
1673285456085,453,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1942,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6327/Details.json?catalogue=false%20,453,0,230
1673285457069,396,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,3229,171,2,2,null,0,5,164
1673285457070,396,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3229,171,2,2,https://api.tmsandbox.co.nz/v1/Categories/6329/Details.json?catalogue=false%20,396,0,164
1673285458070,397,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Ultimate Thread Group 1-3,,false,,786,171,3,3,null,0,4,141
1673285458070,397,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-3,text,false,"Test failed: text expected to contain /""CanRelist"":true/",786,171,3,3,https://api.tmsandbox.co.nz/v1/Categories/6331/Details.json?catalogue=false%20,397,0,141
1673285459069,429,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,3231,171,4,4,null,0,2,180
1673285459069,429,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3231,171,4,4,https://api.tmsandbox.co.nz/v1/Categories/6333/Details.json?catalogue=false%20,429,0,180
1673285460069,344,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,3220,171,5,5,null,0,6,157
1673285460070,344,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6335/Details.json?catalogue=false%20,344,0,157
1673285456541,467,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,3233,171,5,5,null,0,5548,155
1673285462087,467,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3233,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6328/Details.json?catalogue=false%20,467,0,155
1673285457470,361,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,3245,171,5,5,null,0,11614,173
1673285469071,361,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3245,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6330/Details.json?catalogue=false%20,361,0,173
1673285458471,421,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,3225,171,5,5,null,0,17602,193
1673285476071,421,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3225,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6332/Details.json?catalogue=false%20,421,0,193
1673285459500,385,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,3220,171,5,5,null,0,23574,157
1673285483070,385,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6334/Details.json?catalogue=false%20,385,0,157
1673285460419,435,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,3220,171,5,5,null,0,29657,244
1673285490074,435,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6336/Details.json?catalogue=false%20,435,0,244
1673285490511,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-1,,true,,0,0,5,5,null,0,0,0
1673285462556,460,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1942,171,4,4,null,0,29539,174
1673285492093,460,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1942,171,4,4,https://api.tmsandbox.co.nz/v1/Categories/6327/Details.json?catalogue=false%20,460,0,174
1673285469445,378,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,3233,171,4,4,null,0,29631,176
1673285499074,378,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3233,171,4,4,https://api.tmsandbox.co.nz/v1/Categories/6328/Details.json?catalogue=false%20,378,0,176
1673285499454,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-4,,true,,0,0,4,4,null,0,0,0
1673285476494,370,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,3229,171,3,3,null,0,29581,165
1673285506073,370,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3229,171,3,3,https://api.tmsandbox.co.nz/v1/Categories/6329/Details.json?catalogue=false%20,368,0,165
1673285506445,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-3,,true,,0,0,3,3,null,0,0,0
1673285483458,329,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,3245,171,2,2,null,0,29624,146
1673285513081,329,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3245,171,2,2,https://api.tmsandbox.co.nz/v1/Categories/6330/Details.json?catalogue=false%20,329,0,146
1673285513413,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-2,,true,,0,0,2,2,null,0,0,0
1673285492555,444,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,3225,171,1,1,null,0,23546,160
1673285516099,444,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3225,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6332/Details.json?catalogue=false%20,444,0,160
1673285516545,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-5,,true,,0,0,1,1,null,0,0,0
1673287939710,641,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1942,171,1,1,null,0,86,446
1673287939771,641,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1942,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6327/Details.json?catalogue=false%20,640,0,446
1673287940709,558,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,3229,171,2,2,null,0,10,356
1673287940712,558,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3229,171,2,2,https://api.tmsandbox.co.nz/v1/Categories/6329/Details.json?catalogue=false%20,557,0,356
1673287941708,323,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Ultimate Thread Group 1-3,,false,,786,171,3,3,null,0,4,141
1673287941708,323,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-3,text,false,"Test failed: text expected to contain /""CanRelist"":true/",786,171,3,3,https://api.tmsandbox.co.nz/v1/Categories/6331/Details.json?catalogue=false%20,323,0,141
1673287942708,372,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,3231,171,4,4,null,0,7,166
1673287942708,372,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3231,171,4,4,https://api.tmsandbox.co.nz/v1/Categories/6333/Details.json?catalogue=false%20,372,0,166
1673287943709,381,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,3220,171,5,5,null,0,9,167
1673287943710,381,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6335/Details.json?catalogue=false%20,381,0,167
1673287940438,366,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,3233,171,5,5,null,0,5281,159
1673287945714,366,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3233,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6328/Details.json?catalogue=false%20,366,0,159
1673287941277,347,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,3245,171,5,5,null,0,11451,155
1673287952714,347,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3245,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6330/Details.json?catalogue=false%20,347,0,155
1673287942036,416,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,3225,171,5,5,null,0,17677,171
1673287959709,416,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3225,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6332/Details.json?catalogue=false%20,374,0,171
1673287943088,358,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,3220,171,5,5,null,0,23626,168
1673287966711,358,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6334/Details.json?catalogue=false%20,357,0,168
1673287944100,399,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,3220,171,5,5,null,0,29616,201
1673287973712,399,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6336/Details.json?catalogue=false%20,398,0,201
1673287974115,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-1,,true,,0,0,5,5,null,0,0,0
1673287946086,356,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1942,171,4,4,null,0,29632,164
1673287975712,356,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1942,171,4,4,https://api.tmsandbox.co.nz/v1/Categories/6327/Details.json?catalogue=false%20,356,0,164
1673287953076,351,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,3233,171,4,4,null,0,29643,163
1673287982714,351,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3233,171,4,4,https://api.tmsandbox.co.nz/v1/Categories/6328/Details.json?catalogue=false%20,350,0,163
1673287983070,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-4,,true,,0,0,4,4,null,0,0,0
1673287960131,418,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,3229,171,3,3,null,0,29585,165
1673287989710,418,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3229,171,3,3,https://api.tmsandbox.co.nz/v1/Categories/6329/Details.json?catalogue=false%20,418,0,165
1673287990134,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-3,,true,,0,0,3,3,null,0,0,0
1673287967073,385,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,3245,171,2,2,null,0,29643,182
1673287996710,385,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3245,171,2,2,https://api.tmsandbox.co.nz/v1/Categories/6330/Details.json?catalogue=false%20,385,0,182
1673287997100,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-2,,true,,0,0,2,2,null,0,0,0
1673287976074,338,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,3225,171,1,1,null,0,23640,149
1673287999711,338,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3225,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6332/Details.json?catalogue=false%20,338,0,149
1673288000053,0,TC1_CategoryDetails,,,jp@gc - Ultimate Thread Group 1-5,,true,,0,0,1,1,null,0,0,0
